Opp_ID,Account_Name,Industry,Region,Amount,Stage,Lead_Source,Sales_Notes,Created_Date
OPP-00000,Ryan-Fuentes,Logistics,APAC,173769,Closed Lost,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-08-09
OPP-00001,Young-Rodriguez,FinTech,EMEA,51266,Closed Lost,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-08-02
OPP-00002,"Wolf, Clay and Collier",Logistics,AMER,209466,Closed Lost,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-03-28
OPP-00003,Leach-Roberson,SaaS,APAC,70271,Qualification,LinkedIn,"Budget is approved, but they need an API integration for Python.",2025-06-17
OPP-00004,"Brown, Wagner and Singh",HealthTech,EMEA,48548,Closed Lost,Partner,They are comparing us to a local competitor in Berlin.,2025-06-29
OPP-00005,Diaz LLC,FinTech,EMEA,178893,Discovery,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-10-27
OPP-00006,Morrison Group,FinTech,APAC,189497,Discovery,Partner,"Great call, but internal restructuring might delay the sign-off.",2025-04-24
OPP-00007,"Adams, Beck and Roberts",SaaS,EMEA,113928,Closed Won,Partner,Customer requested a 15% discount; Finance approval pending.,2025-03-19
OPP-00008,Torres LLC,FinTech,EMEA,99468,Discovery,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2025-04-21
OPP-00009,Randall Group,Retail,AMER,81668,Qualification,G2 Review,"Highly motivated, looking to close by the end of Q3.",2026-01-03
OPP-00010,Hampton-Warner,Logistics,APAC,183191,Discovery,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-04-04
OPP-00011,"Johnston, Hickman and Griffin",HealthTech,EMEA,48230,Negotiation,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-10-05
OPP-00012,Dean-Hancock,FinTech,APAC,100681,Closed Won,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-03-29
OPP-00013,"Lucas, Jackson and Campos",AI,AMER,193855,Closed Lost,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2026-03-14
OPP-00014,Day Ltd,HealthTech,EMEA,209775,Closed Lost,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-07-13
OPP-00015,"Hutchinson, Taylor and Murray",Retail,APAC,204221,Closed Won,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2025-08-29
OPP-00016,White-Snyder,Retail,EMEA,127491,Closed Lost,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-04-24
OPP-00017,"Bond, Mcneil and Bell",AI,AMER,27129,Qualification,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2025-05-05
OPP-00018,Miller-Buck,HealthTech,EMEA,29220,Qualification,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-09-15
OPP-00019,"Harrington, Smith and Eaton",HealthTech,AMER,228327,Discovery,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2025-05-20
OPP-00020,Rodriguez and Sons,Retail,EMEA,77052,Closed Won,Partner,"Budget is approved, but they need an API integration for Python.",2025-07-23
OPP-00021,Santiago-Foster,SaaS,EMEA,53874,Discovery,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2025-12-05
OPP-00022,Smith PLC,Logistics,AMER,115821,Negotiation,Partner,"Great call, but internal restructuring might delay the sign-off.",2025-08-28
OPP-00023,Jordan-Bailey,HealthTech,AMER,213437,Closed Won,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-04-21
OPP-00024,Santana-Long,HealthTech,APAC,192928,Proposal,LinkedIn,"Budget is approved, but they need an API integration for Python.",2026-03-03
