Opp_ID,Account_Name,Sales_Notes,Amount,AI_Risk_Assessment
OPP-38954,"Erickson, Scott and Graves","Budget is approved, but they need an API integration for Python.",249964,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-02084,"Smith, Foster and Willis",Technical gap: missing multi-currency support in the dashboard.,249940,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-07539,Thompson-Morris,Technical gap: missing multi-currency support in the dashboard.,249883,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-17198,"Ortiz, Cummings and Potts",Technical gap: missing multi-currency support in the dashboard.,249846,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-49010,"Gomez, Perez and Rollins",Customer requested a 15% discount; Finance approval pending.,249832,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-38709,Shea PLC,Customer requested a 15% discount; Finance approval pending.,249818,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-40702,Taylor-Rangel,Decision maker is hesitant about the pricing structure.,249728,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-36300,Santos LLC,"Great call, but internal restructuring might delay the sign-off.",249710,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-26985,Watson PLC,Customer requested a 15% discount; Finance approval pending.,249703,Strategic Review: High-value opportunity; prioritize executive alignment.
OPP-13580,Harrison Inc,"Budget is approved, but they need an API integration for Python.",249623,Strategic Review: High-value opportunity; prioritize executive alignment.
